Marque,Modèle,Type de Carburant,Puissance Fiscale (CV),Puissance Moteur,Transmission,Consommation Urbaine (L/100 km),Consommation Autoroute (L/100 km),Consommation Mixte (L/100 km),Emissions CO2 (g/km),Catégorie de Véhicule,Cylindrée (L),Cylindres,masse orde marche min,masse orde marche max
ALFA-ROMEO,156 1.9JTD,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,156 1.9JTD,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,,,,,
ALFA-ROMEO,156 SW 1.9JTD,GO,7,81.0,M 5,7.9,4.9,6.0,160.0,,,,,
ALFA-ROMEO,156 SW 1.9JTD,GO,7,85.0,M 5,7.9,4.9,6.0,160.0,,,,,
ALFA-ROMEO,156 SW 1.9JTD DISTINCTIVE,GO,7,85.0,M 5,7.9,4.9,6.0,160.0,,,,,
ALFA-ROMEO,156 1.9JTD (140ch) PROGRESSION,GO,8,103.0,M 6,8.0,4.7,5.9,157.0,,,,,
ALFA-ROMEO,156 2.4JTD,GO,8,103.0,M 5,8.9,5.4,6.7,178.0,,,,,
ALFA-ROMEO,156 2.4JTD,GO,8,103.0,M 5,8.9,5.4,6.7,178.0,,,,,
ALFA-ROMEO,156 SW 1.9JTD (140ch) PROGRESSION,GO,8,103.0,M 6,8.2,4.8,6.1,161.0,,,,,
ALFA-ROMEO,156 2.4JTD DISTINCTIVE,GO,9,110.0,M 5,8.8,5.3,6.6,175.0,,,,,
ALFA-ROMEO,156 SW 2.4JTD,GO,9,103.0,M 5,9.0,5.6,6.8,180.0,,,,,
ALFA-ROMEO,156 SW 2.4JTD PROGRESSIVE,GO,9,110.0,M 5,8.9,5.5,6.7,178.0,,,,,
ALFA-ROMEO,166 2.0L TS,ES,10,110.0,M 6,13.8,7.3,9.7,230.0,,,,,
ALFA-ROMEO,166 2.5L V6,ES,14,138.0,M 6,17.2,8.8,11.9,284.0,,,,,
ALFA-ROMEO,166 3.0L V6,ES,16,162.0,M 6,18.3,9.1,12.5,297.0,,,,,
ALFA-ROMEO,166 3.0L V6 SPORTRONIC,ES,16,162.0,A 4,19.4,9.3,13.0,310.0,,,,,
ALFA-ROMEO,166 2.4JTD,GO,9,103.0,M 6,10.4,6.0,7.6,201.0,,,,,
ALFA-ROMEO,166 2.4JTD DISTINCTIVE,GO,9,110.0,M 6,10.4,5.8,7.5,199.0,,,,,
ALFA-ROMEO,GTV 2.0L TS,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,,,,,
ALFA-ROMEO,GTV 2.0L TS,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,,,,,
ALFA-ROMEO,GTV 3.0L V6 24V,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,,,,,
ALFA-ROMEO,GTV 3.0L V6 24V,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,,,,,
ALFA-ROMEO,SPIDER 2.0L TS,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,,,,,
ALFA-ROMEO,SPIDER 2.0L TS,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,,,,,
ALFA-ROMEO,SPIDER 3.0L V6 24V,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,,,,,
ALFA-ROMEO,SPIDER 3.0L V6 24V,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,,,,,
ASTON MARTIN,DB7 Vantage 2PL BVA CG,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,,,,,
ASTON MARTIN,DB7 Vantage 2PL CG,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,,,,,
ASTON MARTIN,DB7 Vantage 2PL CG,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,,,,,
ASTON MARTIN,DB7 Vantage 4PL BVA CG,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,,,,,
ASTON MARTIN,DB7 Vantage 4PL CG,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,,,,,
ASTON MARTIN,DB7 Vantage 4PL CG,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,,,,,
ASTON MARTIN,DB7 Vantage Volante 2PL BVA CG,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,,,,,
ASTON MARTIN,DB7 Vantage Volante 2PL CG,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,,,,,
ASTON MARTIN,DB7 Vantage Volante 4PL BVA CG,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,,,,,
ASTON MARTIN,DB7 Vantage Volante 4PL CG,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,,,,,
ASTON MARTIN,VANQUISH 2PL CG,ES,40,345.0,M 6,25.6,11.5,16.7,396.0,,,,,
ASTON MARTIN,VANQUISH 4PL CG,ES,40,345.0,M 6,25.6,11.5,16.7,396.0,,,,,
AUDI,A2 1.4L (75ch),ES,5,55.0,M 5,8.2,4.7,6.0,144.0,,,,,
AUDI,A2 1.4L (75ch),ES,5,55.0,M 5,8.3,4.8,6.1,146.0,,,,,
AUDI,A2 1.4L (75ch),ES,5,55.0,M 5,8.2,4.7,6.0,144.0,,,,,
AUDI,A2 1.4L (75ch),ES,5,55.0,M 5,8.3,4.8,6.1,146.0,,,,,
AUDI,A2 1.4L (75ch),ES,5,55.0,M 5,8.1,4.6,5.9,142.0,,,,,
AUDI,A2 1.6L FSI,ES,6,81.0,M 5,8.1,4.7,5.9,142.0,,,,,
AUDI,A2 1.4TDI (75ch),GO,4,55.0,M 5,5.6,3.5,4.3,116.0,,,,,
AUDI,A2 1.4TDI (75ch),GO,4,55.0,M 5,5.7,3.6,4.4,119.0,,,,,
AUDI,A2 1.4TDI (75ch),GO,4,55.0,M 5,5.6,3.5,4.3,116.0,,,,,
AUDI,A2 1.4TDI (75ch),GO,4,55.0,M 5,5.7,3.6,4.4,119.0,,,,,
AUDI,A3 3P 1.6L (102ch),ES,6,75.0,M 5,9.8,5.4,7.0,168.0,,,,,
AUDI,A3 5P 1.6L (102ch),ES,6,75.0,M 5,9.8,5.4,7.0,168.0,,,,,
AUDI,A3 3P 1.6L (102ch),ES,7,75.0,M 5,9.9,5.5,7.1,170.0,,,,,
AUDI,A3 3P 1.6L (102ch) BVA,ES,7,75.0,A 4,11.2,6.2,8.0,192.0,,,,,
AUDI,A3 3P 1.6L (102ch) BVA,ES,7,75.0,A 4,11.4,6.3,8.1,194.0,,,,,
AUDI,A3 3P 1.6L (102ch) BVA,ES,7,75.0,A 4,11.2,6.2,8.0,192.0,,,,,
AUDI,A3 5P 1.6L (102ch),ES,7,75.0,M 5,9.9,5.5,7.1,170.0,,,,,
AUDI,A3 5P 1.6L (102ch) BVA,ES,7,75.0,A 4,11.4,6.3,8.1,194.0,,,,,
AUDI,A3 3P 1.8L (125ch),ES,8,92.0,M 5,10.6,6.2,7.8,187.0,,,,,
AUDI,A3 3P 1.8L (125ch),ES,8,92.0,M 5,10.7,6.3,7.9,190.0,,,,,
AUDI,A3 3P 1.8L (125ch) BVA,ES,8,92.0,A 4,12.0,6.9,8.8,211.0,,,,,
AUDI,A3 5P 1.8L (125ch),ES,8,92.0,M 5,10.7,6.3,7.9,190.0,,,,,
AUDI,A3 5P 1.8L (125ch) BVA,ES,8,92.0,A 4,12.0,6.9,8.8,211.0,,,,,
AUDI,A3 3P 1.8T (150ch),ES,9,110.0,M 5,10.7,6.2,7.9,190.0,,,,,
AUDI,A3 5P 1.8T (150ch),ES,9,110.0,M 5,10.7,6.2,7.9,190.0,,,,,
AUDI,A3 3P 1.8T (150ch) BVA,ES,10,110.0,A 4,12.8,6.9,9.0,216.0,,,,,
AUDI,A3 5P 1.8T (150ch) BVA,ES,10,110.0,A 4,12.8,6.9,9.0,216.0,,,,,
AUDI,A3 5P 1.8T (150ch) BVA,ES,10,110.0,A 4,12.9,7.0,9.1,218.0,,,,,
AUDI,A3 3P 1.8T (180ch),ES,11,132.0,M 5,10.7,6.3,7.9,190.0,,,,,
AUDI,A3 5P 1.8T (180ch),ES,11,132.0,M 5,10.7,6.3,7.9,190.0,,,,,
AUDI,A3 3P 1.8T (180ch) QUATTRO BV6,ES,12,132.0,M 6,13.0,7.5,9.4,226.0,,,,,
AUDI,A3 3P 1.8T (180ch) QUATTRO BV6,ES,12,132.0,M 6,13.1,7.6,9.5,228.0,,,,,
AUDI,A3 3P 1.8T (180ch) TIPTRONIC,ES,12,132.0,A 5,13.0,6.7,9.0,216.0,,,,,
AUDI,A3 3P 1.8T (180ch) TIPTRONIC,ES,12,132.0,A 5,13.1,6.9,9.1,218.0,,,,,
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,ES,12,132.0,M 6,12.9,7.4,9.3,223.0,,,,,
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,ES,12,132.0,M 6,13.0,7.5,9.4,226.0,,,,,
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,ES,12,132.0,M 6,13.1,7.6,9.5,228.0,,,,,
AUDI,A3 5P 1.8T (180ch) TIPTRONIC,ES,12,132.0,A 5,13.0,6.7,9.0,216.0,,,,,
AUDI,A3 5P 1.8T (180ch) TIPTRONIC,ES,12,132.0,A 5,13.1,6.9,9.1,218.0,,,,,
AUDI,A3 3P 1.9TDI (90ch),GO,5,66.0,M 5,6.5,4.1,4.9,132.0,,,,,
AUDI,A3 3P 1.9TDI (90ch),GO,5,66.0,M 5,6.6,4.2,5.0,135.0,,,,,
AUDI,A3 5P 1.9TDI (90ch),GO,5,66.0,M 5,6.6,4.2,5.0,135.0,,,,,
AUDI,A3 3P 1.9TDI (101ch),GO,6,74.0,M 5,6.5,4.2,5.0,135.0,,,,,
AUDI,A3 3P 1.9TDI (101ch),GO,6,74.0,M 5,6.5,4.2,5.0,135.0,,,,,
AUDI,A3 3P 1.9TDI (101ch),GO,6,74.0,M 5,6.6,4.3,5.1,138.0,,,,,
AUDI,A3 3P 1.9TDI (110ch),GO,6,81.0,M 5,6.6,4.1,5.0,135.0,,,,,
AUDI,A3 5P 1.9TDI (101ch),GO,6,74.0,M 5,6.6,4.3,5.1,138.0,,,,,
AUDI,A3 5P 1.9TDI (110ch),GO,6,81.0,M 5,6.6,4.1,5.0,135.0,,,,,
AUDI,A3 3P 1.9TDI (130ch) BV6,GO,7,96.0,M 6,7.0,4.3,5.2,140.0,,,,,
AUDI,A3 3P 1.9TDI (130ch) BV6,GO,7,96.0,M 6,7.1,4.5,5.4,146.0,,,,,
AUDI,A3 5P 1.9TDI (130ch) BV6,GO,7,96.0,M 6,7.0,4.3,5.2,140.0,,,,,
AUDI,A3 5P 1.9TDI (130ch) BV6,GO,7,96.0,M 6,7.1,4.5,5.4,146.0,,,,,
AUDI,A3 3P 1.9TDI (130ch) QUATTRO BV6,GO,8,96.0,M 6,8.0,5.1,6.2,167.0,,,,,
AUDI,A3 3P 1.9TDI (130ch) QUATTRO BV6,GO,8,96.0,M 6,8.1,5.2,6.3,170.0,,,,,
AUDI,A3 3P 1.9TDI (130ch) TIPTRONIC,GO,8,96.0,A 5,9.0,5.0,6.5,176.0,,,,,
AUDI,A3 3P 1.9TDI (130ch) TIPTRONIC,GO,8,96.0,A 5,9.1,5.1,6.5,178.0,,,,,
AUDI,A3 5P 1.9TDI (130ch) QUATTRO BV6,GO,8,96.0,M 6,8.1,5.2,6.3,170.0,,,,,
AUDI,A3 5P 1.9TDI (130ch) TIPTRONIC,GO,8,96.0,A 5,9.1,5.1,6.5,178.0,,,,,
AUDI,A4 1.6L,ES,7,75.0,M 5,10.9,6.1,7.8,187.0,,,,,
AUDI,A4 2.0L,ES,8,96.0,V 0,10.9,6.2,7.9,190.0,,,,,
AUDI,A4 2.0L (130ch),ES,8,96.0,M 5,11.5,6.0,8.0,192.0,,,,,
AUDI,A4 2.0L (130ch) MULTITRONIC,ES,8,96.0,V 0,10.9,6.2,7.9,190.0,,,,,
AUDI,A4 2.0L (130ch) MULTITRONIC,ES,8,96.0,V 0,11.0,6.3,8.0,192.0,,,,,
AUDI,A4 1.8T (150ch),ES,9,110.0,V 0,11.4,6.5,8.3,199.0,,,,,
AUDI,A4 1.8T (150ch),ES,9,110.0,M 5,11.3,6.4,8.2,197.0,,,,,
AUDI,A4 1.8T (150ch),ES,9,110.0,M 5,11.4,6.5,8.3,199.0,,,,,
